mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,centroid,rolloff,zcr,rms,echo,label
-217.97088623046875,118.12892150878906,-29.719783782958984,10.910903930664062,-3.140872001647949,-8.217168807983398,-27.22844123840332,-16.89037322998047,-0.4458008110523224,-6.086622714996338,-6.450842380523682,-15.378993034362793,-3.8139445781707764,1842.8627161143393,3331.9218035442073,0.09901152820121951,0.1111735850572586,0.966370165348053,human
-267.5595703125,117.44093322753906,-9.637792587280273,41.46951675415039,12.030180931091309,-11.925634384155273,11.129546165466309,-19.99867057800293,-2.090467929840088,-1.011994481086731,-5.213127613067627,-1.8000802993774414,-6.287115097045898,1626.003943430027,3208.2707639600408,0.0612672899590164,0.08751654624938965,0.9638192653656006,human
-330.93408203125,110.0799331665039,4.926929950714111,31.657569885253906,20.606307983398438,-11.617732048034668,-10.191373825073242,-10.554322242736816,-3.0215327739715576,-1.1055246591567993,-2.0764660835266113,-2.367832899093628,-3.3834729194641113,1471.3381569536018,2676.330512630782,0.051144772164096915,0.065827377140522,0.9702875018119812,human
-253.0906524658203,126.36678314208984,1.8671613931655884,30.866064071655273,2.6419589519500732,-8.261812210083008,-0.48184847831726074,-15.443575859069824,-18.10595703125,-2.3932859897613525,-9.109378814697266,-8.135522842407227,-4.907903671264648,1636.3235798106616,3255.897216796875,0.07559988839285714,0.11286652833223343,0.9874116778373718,human
-324.0872802734375,125.50369262695312,-3.5981016159057617,26.748703002929688,8.241877555847168,-10.008735656738281,-5.013822555541992,-12.922688484191895,-6.2622456550598145,1.1465678215026855,-7.237080097198486,1.9016269445419312,-5.596717834472656,1606.182424603697,3199.8107471054404,0.06645894222122302,0.05437087267637253,0.9757732152938843,human
-293.6123962402344,94.01534271240234,44.42845153808594,28.263301849365234,-2.171393632888794,4.000256538391113,3.764785051345825,-4.629053115844727,-6.734783172607422,-5.087403297424316,-2.808547258377075,-9.001866340637207,-0.4140792489051819,2167.564068931859,3778.609035326087,0.13439700160573123,0.09136061370372772,0.8017564415931702,human
-292.8843994140625,90.10511779785156,-17.135948181152344,23.318639755249023,36.95289993286133,15.276786804199219,-6.8267693519592285,0.20249709486961365,-6.137929439544678,-19.245315551757812,-5.135937690734863,-3.2116968631744385,-7.3717193603515625,2023.6291305596174,3642.946490119485,0.11642476000816994,0.08964147418737411,0.9630478024482727,human
-360.2828674316406,97.97808837890625,-0.02485358528792858,18.42303466796875,-2.5061557292938232,13.706137657165527,2.54364275932312,4.463593006134033,1.7344944477081299,-5.983485221862793,-1.503810167312622,-15.161014556884766,-11.318568229675293,1333.0404443094214,2295.4518285290947,0.08509844198994253,0.058389004319906235,0.9720657467842102,human
-301.9805603027344,77.64183807373047,-2.8078410625457764,17.487031936645508,-8.030426979064941,-2.440830945968628,-12.511746406555176,-6.067626953125,-25.166959762573242,-3.4256439208984375,-13.919557571411133,-11.279095649719238,-4.278641223907471,2620.742892495044,4713.888799948771,0.17089310109289618,0.10150603204965591,0.9692001342773438,human
-282.35272216796875,66.5068130493164,2.4884352684020996,44.62625503540039,-2.4410531520843506,-10.893179893493652,-27.645660400390625,-4.543610095977783,-12.788433074951172,-12.314945220947266,-12.026947975158691,-6.704277515411377,-17.93254852294922,2418.3485363016443,4565.6508012251425,0.14994118430397727,0.0841977670788765,0.9811502695083618,human
-152.50921630859375,99.97914123535156,20.055084228515625,31.9892578125,16.376811981201172,7.231583118438721,2.604576826095581,6.335402011871338,-6.7457780838012695,10.773370742797852,-4.385647773742676,2.868866205215454,-5.143877983093262,1920.8182360378923,4506.774019907756,0.066825050557343,0.13402925431728363,0.9602351784706116,human
